"method","tv","fkl","rkl","mean_h_error","expected_code","q0","q_effective_kernels","q_kernel95","rmse","logscore","rmse_gap","logscore_gap","n_kernels","kkt_residual","active_kernels_001","dataset","replication_id","mode"
"fixed_hard_dictionary",0.0719177117999475,0.0271395704664681,0.0163821618759789,6.43021191848447e-11,4.78674996895108,0.0123026254932147,6.03302341340785,8,1.12865536347502,-1.54573163686307,8.87272350591495e-05,-0.000103572330060198,17,0.0442053621218422,NA,"tecator_semisynthetic",1,"medium"
"adaptive_support_kernel",0.0605748754090777,0.0177326447680253,0.0157403233837503,2.44249065417534e-15,2.24786407454177,0.001,3.01940097871294,3,1.12872948917261,-1.545851266658,0.000162852932658497,-0.0002232021249855,6,0.00526889860061441,5,"tecator_semisynthetic",1,"medium"
"topM_support_atoms",0.14482400334951,0.205366541955408,0.1126188456254,2.22044604925031e-16,10.5789759328683,0.131088281841364,14.4107312926501,24,1.12881387188503,-1.5456647473872,0.00024723564507223,-3.66828541900066e-05,33,0.00179750429114256,NA,"tecator_semisynthetic",1,"medium"
"fixed_hard_dictionary",0.0698218125740573,0.0273607754550317,0.015987203475332,6.44050368592275e-11,4.94415778736312,0.0141514949112526,5.62342743521508,9,1.32933340859863,-1.70892330683914,-8.5906257565771e-05,0.000122305864739047,17,0.0457105890675525,NA,"tecator_semisynthetic",2,"medium"
"adaptive_support_kernel",0.0522523690319279,0.0168444298023812,0.014744915281491,1.99840144432528e-15,2.57588123697562,0.001,5.01775054873903,6,1.32939845652993,-1.70896933469958,-2.08583262641948e-05,7.62780043026545e-05,11,0.0863764136828653,10,"tecator_semisynthetic",2,"medium"
"topM_support_atoms",0.157723503721682,0.213192495677653,0.120986105964646,0,11.4706109690403,0.143956231579465,12.4512918972855,26,1.32922424415429,-1.7089301561383,-0.000195070701905387,0.000115456565582983,33,0.00247312431416591,NA,"tecator_semisynthetic",2,"medium"
"fixed_hard_dictionary",0.0719200904583732,0.0263397446050097,0.0164767428858395,6.42230713054914e-11,4.66979209480586,0.0102775196728081,6.57967071639517,9,1.1700537087216,-1.58566700255327,0.000249421278856188,-5.92824795904168e-05,17,0.0239450410741612,NA,"tecator_semisynthetic",3,"medium"
"adaptive_support_kernel",0.0600054668955022,0.0174581553579767,0.0153752917937579,3.33066907387547e-16,2.21904234986316,0.001,3.04659629880438,3,1.16989133644911,-1.58558420589352,8.70490063629159e-05,2.35141801512295e-05,5,0.00336192680515124,4,"tecator_semisynthetic",3,"medium"
"topM_support_atoms",0.123932672044012,0.190524439158066,0.0986044448194701,0,9.42172652397076,0.111390743128392,12.8274884061302,25,1.17091092069159,-1.58585271710081,0.00110663324884031,-0.000244997027132987,33,0.002438536883136,NA,"tecator_semisynthetic",3,"medium"
