"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","runtime_sec","status","error","dataset","response","replication_id","mode","p_reduced","n_train","n_test","reference_type","reference_supports","reference_support_entropy","reference_support_n95"
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0528431630254338,0.0115006691795178,0.0110230640184716,0,0.118875457817159,8.4535886690716,12,7.23621629752147,12,NA,0.178593344102,4.22495362333545,-2.88883528531908,-0.00240873967926447,0.000232978572848541,0.0363952489328003,"max_iter_reached",120,1.55674988476795e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.055956814222529,0.0121979948088713,0.0116423536207145,0,0.475050512528756,9.1960899573622,16,7.29132408481257,16,NA,0.194133108796298,4.21839245988869,-2.88746174530546,-0.00896990312602242,0.00160651858646554,0.0311407160388989,"max_iter_reached",120,4.01215500047403e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.178629061041277,0.103828008505665,0.100968709874495,0,0.001,4.52852084411873,8,4.89991869648285,343,NA,0.464520457719177,4.23171322322011,-2.8911983892058,0.00435086020539632,-0.00213012531386614,0.0188314431971391,"max_iter_reached",240,3.00596251889829e-07,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.179490393578377,0.103461550955981,0.100869485890271,0,0.001,4.53848289538799,7,4.69463492299886,8,NA,0.464993762236064,4.23177322859556,-2.89120996527099,0.00441086558084169,-0.00214170137905967,0.00316655346982198,"max_iter_reached",120,3.03913576582548e-07,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.396264021929769,0.352253513111517,0.463155217795881,0,0.262964012345914,14.3046676736061,12,5.99482147826071,49,NA,2.18791784423282,4.22683833856439,-2.89123429374716,-0.000524024450323068,-0.00216602985523018,0.317530595024676,"max_iter_reached",120,1.8922887524031e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.485478173636373,0.824974882563201,0.638596476956436,0,0.139367400825799,18.5500793127192,17,11.6202095559218,17,16,2.3065284817954,4.20401392488387,-2.88698292922369,-0.0233484381308466,0.00208533466823901,0.0109323339450364,"objective_converged_kkt_warning",45,3.03241369747909e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.391452961527335,0.705961577383523,0.459216111904991,1.11022302462516e-16,0.110068961426052,17.6228569096563,33,19.2673832436364,33,32,2.11283171647713,4.20031035869822,-2.88590632180639,-0.0270520043164915,0.00316194208553755,0.0113662881835224,"objective_converged_kkt_warning",40,2.55412465932636e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.144511402878295,0.296376763831355,0.124622067944202,0,0.0267163023264105,14.8134955232622,151,73.941229036066,232,231,1.47715313511689,4.21711713613741,-2.88813154823451,-0.0102452268773092,0.00093671565742337,0.0237866397258494,"objective_converged_kkt_warning",33,2.36280897292218e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.138576985272339,0.0633814077260568,0.0670686821976884,0,0.00130638930853057,7.23249591876892,12,4.71197166114039,12,NA,0.640430974795428,4.230608889725,-2.89033380528613,0.00324652671028769,-0.00126554139419843,0.0967694745210517,"max_iter_reached",120,2.77697851630565e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.149213842832586,0.075554168323973,0.0734255072666367,0,0.117786655861669,7.94662047757921,16,12.510115613219,16,NA,0.708757268964209,4.20928229971041,-2.88617899913038,-0.0180800633043106,0.00288926476155327,0.0573718793753779,"max_iter_reached",120,1.0163728492163e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.906336974178036,8.34065648048839,3.69840176871572,1.11022302462516e-16,NA,10,NA,NA,NA,10,NA,4.33109718310328,-2.91624800667562,0.10373482008856,-0.0271797427836882,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.978980292545736,18.8678400213429,4.34602448768338,0,NA,2,NA,NA,NA,2,NA,4.33677268858425,-2.91803674136924,0.109410325569536,-0.0289684774773091,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,9,NA,2.98028011741259,-2.51224977498658,-1.24708224560213,0.376818488905347,NA,NA,NA,NA,NA,NA,NA,NA,0.0599999999999454,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,11,NA,3.04250454535876,-2.53220317411682,-1.18485781765596,0.356865089775104,NA,NA,NA,NA,NA,NA,NA,NA,0.07000000000005,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,3.08481175820408,-2.5454339776245,-1.14255060481064,0.343634286267426,NA,NA,NA,NA,NA,NA,NA,NA,0.170000000000073,"ok",NA,"tecator","fat",3,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.96989886831585,353
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.0650946261783619,0.0148367524143123,0.0140975204670872,2.22044604925031e-16,0.001,5.8304470959331,38,12.3698908901016,418,NA,0.128930428967133,0.237564985641084,-0.154018909701493,9.89456990757587e-06,-0.00275337444420307,0.698940078752926,"embedded_pruned_feasible_solution",0,0,512,503,418,TRUE,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.0650946261783619,0.0148367524143123,0.0140975204670872,2.22044604925031e-16,0.001,5.8304470959331,38,12.3698908901016,44,NA,0.128930428967133,0.237564985641084,-0.154018909701493,9.89456990757587e-06,-0.00275337444420307,0.00976577360805331,"max_iter_reached",120,6.34527966836274e-07,512,503,418,TRUE,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.0321551478609526,0.0153606413289105,0.0227282305163885,0,0.967270370867024,41.8800360766546,9,1.24239546709068,49,NA,0.852758991694209,0.236881209036279,-0.154028911506731,-0.00067388203489771,-0.00276337624944187,0.296677247441722,"objective_converged_kkt_warning",90,1.77555561620135e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.29158006391397,0.224218513121764,0.188571125025857,0,0.378065888573261,30.5109160418513,17,9.15193856467983,17,16,0.832222868236949,0.241034530225063,-0.150433478649472,0.00347943915388704,0.000832056607818044,0.00405846753386546,"objective_converged_kkt_warning",37,1.06940661315225e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.229246580186164,0.215305248742454,0.154353316333303,0,0.268072670314793,25.4923333627192,33,16.9893632411892,33,32,0.722319328540303,0.241136902621221,-0.152972725540858,0.00358181155004433,-0.00170719028356825,0.00670907068914423,"objective_converged_kkt_warning",34,1.69886117762363e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0899196036563005,0.146452989305719,0.072548577416037,0,0.0982939586346562,18.0193855810707,117,46.8592188907928,120,119,0.50299355316319,0.239543932535465,-0.151614366478857,0.00198884146428893,-0.000348831221567425,0.00975685525353764,"objective_converged_kkt_warning",32,7.55773710947594e-07,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0821074705225418,0.0201602307972151,0.0198014252662911,0,0.532092911887246,8.0519735908648,12,4.73425920366456,12,NA,0.179644877351291,0.240821273884184,-0.156651147569384,0.00326618281300758,-0.00538561231209447,0.0452444382858679,"max_iter_reached",120,2.6078300129323e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.0849254565424812,0.0230452410617593,0.0215636535947802,0,0.241473552606044,7.72242932125591,17,8.82231567428023,17,NA,0.175316543103213,0.23657178936563,-0.15021382084984,-0.00098330170554578,0.00105171440744939,0.035577228272174,"max_iter_reached",120,2.45596082094068e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.151738864169622,0.0741989197734249,0.0724492100812796,0,0.001,4.45822798609951,9,6.58293204048037,418,NA,0.42897267841644,0.236108202087084,-0.158655714252149,-0.00144688898409223,-0.0073901789948593,0.0170879390292242,"embedded_pruned_feasible_solution",0,0,512,503,418,TRUE,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.151738864169622,0.0741989197734249,0.0724492100812796,0,0.001,4.45822798609951,9,6.58293204048037,10,NA,0.42897267841644,0.236108202087084,-0.158655714252149,-0.00144688898409223,-0.0073901789948593,0.00377360901489865,"objective_converged_kkt_warning",2,6.7366751288489e-08,512,503,418,TRUE,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.0905915397689248,0.0673204599273037,0.139952223702343,0,0.299388806113185,14.3089636176793,12,2.30727466900361,49,NA,2.32051546612981,0.236257195768596,-0.160825551867441,-0.00129789530258034,-0.00956001661015163,0.313791582045351,"max_iter_reached",120,3.68926623828258e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.414108236493408,0.715522811248955,0.454650227362161,0,0.116715887084755,18.0004355246427,17,12.3120623829796,17,16,2.153047073757,0.240876730282289,-0.1505075382321,0.00332163921111309,0.000757997025189611,0.00722178259992529,"objective_converged_kkt_warning",36,2.08182024108439e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.28945480143494,0.568753633303953,0.301505741597049,0,0.0792041454362059,16.4020211045852,33,21.3088630943877,33,32,1.87785619857689,0.241350593358407,-0.155769237714541,0.00379550228723063,-0.0045037024572511,0.00994671297544192,"objective_converged_kkt_warning",34,2.13429037243529e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.13188846896053,0.287052001835289,0.111792387819029,0,0.0263704848068644,14.3852650711615,111,46.8576897792344,120,119,1.43402609239683,0.239387769606602,-0.154403127881578,0.00183267853542529,-0.00313759262428814,0.0261680142328092,"objective_converged_kkt_warning",34,2.12138206512336e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.208826702636441,0.138589625844487,0.124232624378556,0,0.0112148403945261,5.08684419481156,8,2.88649857231131,12,NA,0.544477117228501,0.242834594855445,-0.163368964264542,0.00527950378426911,-0.0121034290072526,0.157066082549792,"max_iter_reached",120,5.856795640935e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.135911110140545,0.0615792285881129,0.0556380073674272,0,0.001,6.50337422129855,15,5.83152317756887,17,NA,0.580085888060308,0.234447633363916,-0.148967560266221,-0.00310745770726048,0.0022979749910681,0.0889059837730591,"max_iter_reached",120,6.90861299359469e-05,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.654214582584155,1.87989962481082,1.36141956177349,0,NA,80,NA,NA,NA,80,NA,0.234497015176257,-0.196847709101558,-0.00305807589491955,-0.0455821738442679,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.864530675806451,5.76689280732938,3.01472149254306,0,NA,36,NA,NA,NA,36,NA,0.247565153278627,-0.255924257732859,0.0100100622074507,-0.104658722475569,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,0.255413642961483,-0.394395873004162,0.0178585518903065,-0.243130337746872,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000002001,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,10,NA,0.250712188767122,-0.360023308322261,0.0131570976959454,-0.208757773064972,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999999727,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,0.212322712164937,0.0573582234581485,-0.0252323789062388,0.208623758715438,NA,NA,NA,NA,NA,NA,NA,NA,0.0700000000001637,"ok",NA,"gasoline","octane",3,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.47382122663806,212
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.0789218761866882,0.0245959611121893,0.0233090256133557,1.11022302462516e-16,0.001,6.25083336004707,33,13.6431934153416,343,NA,0.146999387566758,3.23036032910952,-2.771478899924,0.00439691341366011,-0.00118054294162828,0.029915801361851,"embedded_pruned_feasible_solution",0,0,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.0789218761866882,0.0245959611121893,0.0233090256133557,1.11022302462516e-16,0.001,6.25083336004707,33,13.6431934153416,34,NA,0.146999387566758,3.23036032910952,-2.771478899924,0.00439691341366011,-0.00118054294162828,0.00684224559238134,"max_iter_reached",120,7.46323724126752e-07,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.190052912444055,0.0891517388201824,0.105758383527359,0,0.766579318284947,35.1413629218773,8,2.48371253003827,49,NA,0.791069246670581,3.23000544951434,-2.77255183360847,0.00404203381848323,-0.00225347662609909,0.0992528108054943,"objective_converged_kkt_warning",118,1.75148655334745e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.279830734334589,0.224453457810584,0.18240798574689,0,0.351776052496821,29.2284085651946,17,8.49622713598474,17,16,0.806882006915872,3.22317505016846,-2.76856779748014,-0.00278836552739969,0.0017305595022381,0.00708746246909425,"objective_converged_kkt_warning",37,1.53627159782399e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.233449305245178,0.216751230054482,0.157125567367266,0,0.274102051421541,25.718603327087,33,13.8162034572392,33,32,0.728497454529282,3.22387911741622,-2.76902516438608,-0.0020842982796343,0.00127319259629699,0.00683970025526048,"objective_converged_kkt_warning",35,1.60104823609952e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0905166613497158,0.1464324975835,0.0727090057588997,0,0.0982011660773174,18.0549366320454,114,41.9559733494252,151,150,0.503794609409511,3.22469245327511,-2.7696903788744,-0.0012709624207492,0.000607978107973306,0.00658274776001244,"objective_converged_kkt_warning",32,6.85463485750049e-07,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.054017671304097,0.00989542904008602,0.00966793855470822,0,0.56998691764009,9.32625304696981,10,4.45071360608357,10,NA,0.194927425535242,3.22525106734583,-2.76975971896287,-0.000712348350021763,0.000538638019508042,0.0207657590906875,"max_iter_reached",120,2.90778548373838e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.061989250466974,0.0147125164279619,0.0134471445005676,0,0.314243389906547,8.84960300558942,15,9.33627588806728,15,NA,0.18947066909421,3.22398608960641,-2.76964727759861,-0.00197732608944756,0.000651079383762188,0.0189815992289881,"max_iter_reached",120,1.94290359027405e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.163107554940232,0.0893263606220204,0.0867269605413652,0,0.001,4.49352692479958,9,5.59351389654185,343,NA,0.447086906912277,3.23507065602577,-2.77324796272485,0.00910724032991572,-0.00294960574248027,0.017605479422406,"embedded_pruned_feasible_solution",0,0,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.163107554940232,0.0893263606220204,0.0867269605413652,0,0.001,4.49352692479958,9,5.59351389654185,10,NA,0.447086906912277,3.23507065602577,-2.77324796272485,0.00910724032991572,-0.00294960574248027,0.00659667074038783,"objective_converged_kkt_warning",2,1.00007226722099e-07,495,477,343,TRUE,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.429699049798303,0.410619397104366,0.514201275020186,0,0.257454689476182,14.3056220850667,12,6.4425223013974,49,NA,2.15986856503851,3.23932920422143,-2.77607602036049,0.01336578852557,-0.00577766337811392,0.322115322076204,"max_iter_reached",120,1.79939202151758e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.385370123778938,0.694407261261998,0.439015326005158,0,0.107398488147133,17.3119282883777,17,10.507324672913,17,16,2.07700945173035,3.22586661545854,-2.7695355086128,-9.6800237317396e-05,0.000762848369577629,0.0095236435250966,"objective_converged_kkt_warning",38,2.9657738718214e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.299806386185088,0.585628329176672,0.322127414079068,0,0.0811155116419516,16.2846084045951,33,16.5096380353418,33,32,1.88559305721055,3.22690912605529,-2.77009124413013,0.000945710359438134,0.000207112852246283,0.0102034666756974,"objective_converged_kkt_warning",36,1.85276294706327e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.140513787306935,0.291871596250077,0.117925293514027,0,0.0263337479271113,14.3248049314681,106,40.137370993901,151,150,1.43416368292222,3.2278779619083,-2.77076968849013,0.00191454621244613,-0.000471331507751138,0.0233269979757177,"objective_converged_kkt_warning",33,1.93369939438526e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.148544217303031,0.0688330483726509,0.0682618493584991,0,0.220913844182135,8.17558593009403,10,8.10516031354846,10,NA,0.720787421845594,3.2284900617591,-2.76995678020535,0.00252664606324693,0.000341576777024066,0.0299952880607073,"max_iter_reached",120,8.17050342971637e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.152589406200596,0.0750804443867879,0.068235837395898,0,0.0295528326093744,7.57684784726706,15,13.0217087770752,15,NA,0.678661654297506,3.22561856403494,-2.76992684350881,-0.000344851660913026,0.000371513473565344,0.0156137687755341,"max_iter_reached",120,7.08780288349864e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.889541970132882,7.40196643529233,3.712777714966,0,NA,9,NA,NA,NA,9,NA,3.32179092328608,-2.79968975171565,0.0958275075902275,-0.0293913947332771,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.98255228277465,17.701267704019,4.39926525254737,1.11022302462516e-16,NA,3,NA,NA,NA,3,NA,3.33644045907319,-2.80288726203247,0.110477043377334,-0.0325889050500971,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Lasso","predictive selection","alpha=1, lambda.min",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2.39110239780113,-2.36038537533157,-0.834861017894723,0.409912981650808,NA,NA,NA,NA,NA,NA,NA,NA,0.0499999999999545,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Elastic net","predictive selection","alpha=0.5, lambda.min",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,11,NA,2.40272179608413,-2.36410292307853,-0.823241619611725,0.406195433903842,NA,NA,NA,NA,NA,NA,NA,NA,0.0599999999999454,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"Group lasso","predictive selection","group lasso, lambda.min",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,2.42552928617267,-2.37306601435196,-0.80043412952319,0.397232342630418,NA,NA,NA,NA,NA,NA,NA,NA,0.119999999999891,"ok",NA,"tecator","fat",4,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.36529362719003,241
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.064269075335923,0.0148839040427379,0.0143868570370542,1.11022302462516e-16,0.001,5.94343253849581,28,7.60680135257879,413,NA,0.131723512050747,0.192834104075732,-0.14618892476295,-0.000997093057525156,-0.00329620766930488,0.574580014156423,"embedded_pruned_feasible_solution",0,0,505,493,413,TRUE,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.064269075335923,0.0148839040427379,0.0143868570370542,1.11022302462516e-16,0.001,5.94343253849581,28,7.60680135257879,34,NA,0.131723512050747,0.192834104075732,-0.14618892476295,-0.000997093057525156,-0.00329620766930488,0.00877348649920995,"max_iter_reached",120,7.80629450525261e-07,505,493,413,TRUE,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.0898416674471583,0.0418371355306521,0.0574455122223222,0,0.904556999607473,39.7561136925011,11,1.68156780029846,49,NA,0.836439882440424,0.192359091556384,-0.15470761288875,-0.001472105576873,-0.0118148957951043,0.263253552916078,"objective_converged_kkt_warning",113,1.78647284865274e-06,NA,NA,NA,NA,NA,"ok",NA,"gasoline","octane",4,"full",12,45,15,"exact enumerated reduced real-response BMA",4096,4.6825409181669,325
