"setting","splits","tv_mean","tv_se","fkl_mean","fkl_se","q0_mean","q0_se","C_list_mean","C_list_se","active_jaccard","family_jaccard","coverage_correlation","stable"
"graph_community, rho=0.7, rep=1",5,0.101775268390561,0.0014368194689291,0.0383510070744186,0.000820078588035199,0.00100000009926223,4.65857823663047e-13,71.1158459944114,22.5016123952253,0.432046504220417,1,0.986061166814736,"yes"
"weak_signal, rho=0.9, rep=3",5,0.118638548176896,0.0011978401294728,0.0551630715128557,0.000472223527674073,0.00100000010014594,2.18015154856948e-13,208.707226879889,18.2727219293072,0.348925461438298,1,0.961566641820384,"yes"
