"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","status","error","scenario","rho","replication_id","mode","p","n_train","n_test","reference_object","reference_support_entropy","reference_support_n95","reference_mode","sampler","n_iter","burn","thin","n_chains","retained_draws","unique_supports","unique_group_states","top_support_mass","effective_support_count","mean_size","accept_rate","group_pip_max_range","group_pip_mean_range","split_rhat_max","split_rhat_median","ess_min","ess_median","group_pip_mcse_max","runtime_sec_reference","diagnostic_status","diagnostic_warning","runtime_sec"
"ASK-PC pooled union","support-kernel compression","beta=0.005",0.005,0.0897735103616404,0.0229296930390387,0.0210070553487592,0,0.15395078509459,8.79511290846487,246,152.155808282591,1188,NA,0.0618803525310267,1.28038980680719,-1.66714596262339,-0.000221816411585918,0.000226336975211572,0.0166604365262564,"embedded_pruned_feasible_solution",0,0,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005",0.005,0.0897735103616404,0.0229296930390387,0.0210070553487592,0,0.15395078509459,8.79511290846487,246,152.155808282591,381,NA,0.0618803525310267,1.28038980680719,-1.66714596262339,-0.000221816411585918,0.000226336975211572,0.00728525520863077,"max_iter_reached",140,6.89467453601766e-07,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.005",0.005,0.233153861022966,0.245045865322356,0.161552962541449,0,0.139045351850048,51.2838910377112,43,24.8432977520602,49,NA,0.498252732502913,1.27989227312943,-1.66667456992222,-0.000719350089346094,0.000697729676381487,0.17184251716686,"max_iter_reached",120,3.70830580593839e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.005",0.005,0.183901494239905,0.445467212068054,0.178163790630271,0,0.0413475539188265,61.0831583385578,25,3.91798435545676,25,24,0.749517426434321,1.27940246187039,-1.66631287590577,-0.00120916134838667,0.00105942369282608,0.00666650893955145,"objective_converged_kkt_warning",33,1.65984088484894e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.005",0.005,0.130304874339991,0.353004964789378,0.125850280075076,0,0.0291855388576862,50.3650177069538,49,5.47109034056028,49,48,0.603130575396579,1.27990360837398,-1.6667408367917,-0.000708014844795102,0.000631462806898409,0.00567114658105139,"objective_converged_kkt_warning",32,1.27609850497645e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.005",0.005,0.0691375046991301,0.226204971435161,0.0671676821938702,1.11022302462516e-16,0.0154469267528937,38.3056606366157,88,7.86935919724292,97,96,0.415670297982602,1.27979288940749,-1.66669129439655,-0.000818733811278172,0.000681005202051388,0.00482376774406146,"objective_converged_kkt_warning",31,5.67070286061622e-07,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.005",0.005,0.0569958216519439,0.00873413998635817,0.00832382884953077,0,0.644258601863176,15.9423499199904,15,4.7011391926135,15,NA,0.0868980847255588,1.28027963832654,-1.667085113069,-0.000331984892235182,0.000287186529601025,0.0404958070212804,"max_iter_reached",120,4.32080290066195e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.005",0.005,0.0593360176175468,0.0095611658832701,0.00907463468308026,0,0.605260234621801,15.8979096110582,20,5.94233638868632,20,NA,0.0872686115510952,1.28024146306193,-1.66704804028976,-0.000370160156846211,0.000324259308838837,0.0417967133277923,"max_iter_reached",120,5.03699351218773e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.005",0.005,0.0607195127113789,0.00995436815342024,0.0094523064996228,0,0.605978471533474,15.9021037170516,26,6.70597264332794,26,NA,0.0875618881700767,1.28028107632336,-1.66708343139288,-0.000330546895411121,0.000288868205716719,0.0443645216693002,"max_iter_reached",120,6.30483685205852e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.108712642181954,0.0352071431644193,0.031305208773381,0,0.001,6.43243980887042,106,46.5837577203967,1188,NA,0.160014687408216,1.2803627417436,-1.66711264751628,-0.000248881475167329,0.000259652082322592,0.0163256740360288,"embedded_pruned_feasible_solution",0,0,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.108712642181954,0.0352071431644193,0.031305208773381,0,0.001,6.43243980887042,106,46.5837577203967,163,NA,0.160014687408216,1.2803627417436,-1.66711264751628,-0.000248881475167329,0.000259652082322592,0.00928984934681065,"max_iter_reached",140,1.2059837505296e-06,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.272002805505617,0.470185443302277,0.231890668934066,0,0.0253129446908343,26.3426298951866,45,30.8899129278035,49,NA,0.993607611517865,1.27974486570487,-1.66652255420138,-0.000866757513900085,0.000849745397219381,0.126864427839335,"max_iter_reached",120,3.38850548377012e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.02",0.02,0.189801665651506,0.702553986636485,0.20204275113473,0,0.0105907959087432,33.4365718276845,25,3.46387187253481,25,24,1.37004303618846,1.27930571619163,-1.6662215123996,-0.00130590702713862,0.00115078719899619,0.037835239369715,"objective_converged_kkt_warning",62,2.0426575677579e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.02",0.02,0.13323652725875,0.533114081655497,0.138853857268349,0,0.00752386384969537,30.8748428030613,49,4.93480985898023,49,48,1.14901462357366,1.27989139899172,-1.6667192592988,-0.000720224227049426,0.000653040299797292,0.213065961515932,"objective_converged_kkt_warning",53,8.22523663401853e-07,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.02",0.02,0.0705748095882742,0.322781538464764,0.0719149208345851,0,0.00390846013878914,27.8858702874589,87,7.13298458719896,97,96,0.878534214471422,1.27976533853903,-1.66665689136836,-0.000846284679741238,0.000715408230244519,0.028015571313717,"objective_converged_kkt_warning",54,1.72218492866527e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.02",0.02,0.135671919413963,0.0577309468738405,0.0495362554050827,0,0.242121820987847,11.5060920798174,10,8.26074842982075,15,NA,0.285741273277826,1.27991452355075,-1.66675265209896,-0.000697099668018231,0.0006196474996365,0.132826152502485,"max_iter_reached",120,1.79933857856196e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.02",0.02,0.137436332535325,0.0587208134607695,0.050445510578226,0,0.228179048504517,11.4794928598039,15,10.9129876313399,20,NA,0.28592071705111,1.27985237354725,-1.6666903396359,-0.000759249671521633,0.000681959962699263,0.129689408394528,"max_iter_reached",120,2.59014541024727e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.02",0.02,0.13784849983842,0.0591807819517641,0.0508254130284023,0,0.228013510542085,11.4215065313225,17,13.5391250851969,26,NA,0.285005328929868,1.27995537947763,-1.66677641354825,-0.00065624374113793,0.000595886050353656,0.151347500921232,"max_iter_reached",120,2.58158340591952e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.10869210973663,0.0352148277202869,0.0313092436403814,0,0.001,6.40895340630488,91,35.4969290402531,1188,NA,0.544361654037836,1.28036491567619,-1.66711484222546,-0.000246707542578051,0.000257457373141756,0.0171960601694915,"embedded_pruned_feasible_solution",0,0,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.10869210973663,0.0352148277202869,0.0313092436403814,0,0.001,6.40895340630488,91,35.4969290402531,92,NA,0.544361654037836,1.28036491567619,-1.66711484222546,-0.000246707542578051,0.000257457373141756,0.00353319636282867,"max_iter_reached",140,7.81914712644216e-07,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.306837033584995,0.729423636043124,0.29623872759468,1.11022302462516e-16,0.00532086046103933,19.8496487116548,48,32.9555143598715,49,NA,2.31390037437318,1.27990922872129,-1.66660654767193,-0.000702394497477332,0.000765751926670832,0.558100363268734,"max_iter_reached",120,0.000161602484835655,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.08",0.08,0.196675271309465,0.969978981970389,0.215136007776154,0,0.00267072703918266,26.2163121378998,25,3.08280755238955,25,24,3.06615811227761,1.27924828391741,-1.66613262236096,-0.00136333930136523,0.00123967723764262,0.274395306203033,"max_iter_reached",120,0.00011860041710765,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.08",0.08,0.154356578930486,0.729387803233051,0.155661227931019,0,0.00186793203798785,25.5959820416479,49,4.2824108223682,49,48,2.77561185043761,1.28048039185062,-1.66715194501904,-0.000131231368155182,0.000220354579559379,0.228704629708132,"max_iter_reached",120,7.28474432509785e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.08",0.08,0.120901276048736,0.431039547263787,0.0862716292192401,0,0.001,25.0096516670032,76,5.50802392354326,97,96,2.43010547469977,1.27985473060579,-1.66668486507221,-0.000756892612983506,0.000687434526387865,0.0216021663143591,"objective_converged_kkt_warning",28,2.34314684322001e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.08",0.08,0.1853302744099,0.126257604758191,0.0962858647727561,0,0.001,9.07247445669598,8,5.6030211894551,15,NA,0.850332255343491,1.2797682927583,-1.66658000938202,-0.000843330460476688,0.000792290216580671,0.0441581336534317,"max_iter_reached",120,9.50275557488611e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.08",0.08,0.184016447601509,0.123738360297656,0.0950308662487892,0,0.001,9.1445766107786,12,7.828729716099,20,NA,0.853246688896043,1.27978999486021,-1.66658871314605,-0.000821628358562254,0.000783586452548057,0.0475315029488462,"max_iter_reached",120,0.000106568465752188,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.08",0.08,0.184354511366538,0.122827422756786,0.0948680923564904,0,0.001,9.09841744024124,16,9.67876541053753,26,NA,0.848430883623169,1.2800508057416,-1.6668030232938,-0.00056081747716985,0.000569276304804855,0.0769297416920029,"max_iter_reached",120,0.000100464566684666,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports",NA,0.06776113794209,0.0861440221541129,0.0518302911757342,1.11022302462516e-16,NA,84,NA,NA,NA,84,NA,1.28024416685939,-1.66707541770657,-0.000367456359383844,0.000296881892028811,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=0.5 over visited supports",NA,0.074345315398877,0.0923639466777685,0.0544988930942519,0,NA,82,NA,NA,NA,82,NA,1.28024233830317,-1.66707251366725,-0.000369284915602508,0.00029978593135449,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=1 over visited supports",NA,0.0856047236027991,0.108977704884425,0.0620170426518353,0,NA,77,NA,NA,NA,77,NA,1.28023249829297,-1.66706245236887,-0.000379124925806495,0.0003098472297276,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.005",0.005,0.080618208885654,0.0203049043268746,0.0184153180069117,0,0.114134598833906,9.50979807299901,57,40.8885074966594,1107,NA,0.0641430456586171,1.26703199443244,-1.66600925855502,0.00127568441896231,-0.000949962704867024,0.0165010405152206,"embedded_pruned_feasible_solution",0,0,2305,2296,1107,TRUE,"ok",NA,"ordered_interval",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep001_reference_reliable_full_v2.rds",3.14206937633471,270,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,895,158,0.439944444444444,23.1517269572382,5.03694444444444,0.065625,0.102333333333333,0.0179166666666667,1.07150476332337,1.00304941546882,142.131970313808,2754.3665588738,0.0120906276449471,14.68,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005",0.005,0.080618208885654,0.0203049043268746,0.0184153180069117,0,0.114134598833906,9.50979807299901,57,40.8885074966594,338,NA,0.0641430456586171,1.26703199443244,-1.66600925855502,0.00127568441896231,-0.000949962704867024,0.00663807299016828,"max_iter_reached",140,6.44661092175092e-07,2305,2296,1107,TRUE,"ok",NA,"ordered_interval",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep001_reference_reliable_full_v2.rds",3.14206937633471,270,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,895,158,0.439944444444444,23.1517269572382,5.03694444444444,0.065625,0.102333333333333,0.0179166666666667,1.07150476332337,1.00304941546882,142.131970313808,2754.3665588738,0.0120906276449471,14.68,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.005",0.005,5.71916645986104e-18,-1.41368398468937e-17,1.41368398468937e-17,0,0.866944835114618,209.102781347378,49,2.44668373424474,49,NA,1.18739910475179,1.26575631001347,-1.66505929585015,0,0,0.028453050132251,"max_iter_reached",120,4.73025517133685e-06,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep001_reference_reliable_full_v2.rds",3.14206937633471,270,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,895,158,0.439944444444444,23.1517269572382,5.03694444444444,0.065625,0.102333333333333,0.0179166666666667,1.07150476332337,1.00304941546882,142.131970313808,2754.3665588738,0.0120906276449471,14.68,"pass","",NA
