"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","status","error","scenario","rho","replication_id","mode","p","n_train","n_test","reference_object","reference_support_entropy","reference_support_n95","reference_mode","sampler","n_iter","burn","thin","n_chains","retained_draws","unique_supports","unique_group_states","top_support_mass","effective_support_count","mean_size","accept_rate","group_pip_max_range","group_pip_mean_range","split_rhat_max","split_rhat_median","ess_min","ess_median","group_pip_mcse_max","runtime_sec_reference","diagnostic_status","diagnostic_warning","runtime_sec"
"Top-M support atoms","atom truncation","M=24, beta=0.08",0.08,0.277610981706197,1.31976883727985,0.344214827162496,0,0.00359047309837597,24.6838539224252,25,4.64056475027524,25,24,3.29294231500161,1.36143700158368,-1.72649132331927,0.0123879336310257,-0.00892169440845736,3.56504843564869,"max_iter_reached",120,1.91555170490076e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.08",0.08,0.231489403329837,1.08127748984726,0.270618412920983,0,0.00313172668827825,24.5324511636101,49,6.24399505921779,49,48,3.0420419627247,1.36154842964622,-1.72674103087268,0.0124993616935642,-0.00917140196185984,3.04454287939916,"max_iter_reached",120,3.43476258337638e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.08",0.08,0.18278589372947,0.83038023900488,0.195236917850586,0,0.00218438261421854,23.9028871692829,87,8.63222760692535,97,96,2.7404557099521,1.36216858834075,-1.7272743961724,0.0131195203880985,-0.00970476726158664,1.27677958047767,"max_iter_reached",120,7.39803941289807e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.08",0.08,0.208661135566124,0.153824232911457,0.114495095445579,0,0.001,6.72019147478371,5,1.08642264752095,14,NA,0.691356660570154,1.34782356524437,-1.71687866396681,-0.0012255027082837,0.000690964944007666,0.209151771206589,"max_iter_reached",120,4.80773819033775e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.08",0.08,0.208713298166968,0.153928677464875,0.114559950416905,0,0.001,6.72318996815722,5,1.10514936756771,20,NA,0.691683894417347,1.34780198690111,-1.71686074650227,-0.00124708105153881,0.000708882408548384,0.223988970380424,"max_iter_reached",120,6.87922354363213e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.08",0.08,0.207519582482057,0.151956962848694,0.113305017473623,0,0.001,6.75114960441428,7,1.1783810272847,30,NA,0.691884789716201,1.34820108344225,-1.71715875543301,-0.00084798451039747,0.000410873477811879,0.25487627362497,"max_iter_reached",120,7.75884761538004e-05,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports",NA,0.115435043873839,0.187669434188726,0.0834893415903514,0,NA,142,NA,NA,NA,142,NA,1.35822466213649,-1.72431748227766,0.00917559418384162,-0.00674785336684214,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=0.5 over visited supports",NA,0.140445709426066,0.2018069183927,0.0973183487880127,0,NA,145,NA,NA,NA,145,NA,1.36410554828158,-1.72856738997805,0.0150564803289284,-0.0109977610672289,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"Dilution-prior BMA","redundancy-aware prior","power=1 over visited supports",NA,0.207145531499157,0.247994971272592,0.142982298149605,1.11022302462516e-16,NA,144,NA,NA,NA,144,NA,1.37655545943667,-1.73768112047178,0.0275063914840137,-0.020111491560965,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"ordered_interval",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p90_rep003_reference_reliable_full_v2.rds",3.40347831526987,401,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1183,224,0.390833333333333,30.0685061074717,5.098,0.0792166666666667,0.0573333333333333,0.0200666666666667,1.0316954186687,1.00203775463912,182.021977336001,3004.71132926469,0.00610549210401057,16.04,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.005",0.005,0.0842723222872411,0.0201097526824925,0.018344995469369,0,0.269462197282628,10.0641869942216,271,117.781581627162,1209,NA,0.0656618557475133,1.26771802269795,-1.66054185987583,0.000126684716511338,-0.000216480662223129,0.0155805039321228,"embedded_pruned_feasible_solution",0,0,2355,2343,1209,TRUE,"ok",NA,"noisy_grouping",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_noisy_grouping_rho0p70_rep001_reference_reliable_full_v2.rds",2.54006511796755,177,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,799,169,0.635722222222222,12.6804966721204,5.45188888888889,0.0415083333333333,0.051,0.0173,1.08294444617892,1.00662090568924,152.412508894389,1888.58344119425,0.0104039117661394,11.68,"pass","",NA
