"method","n_cells","tv","tv_se","fkl","fkl_se","q0","q0_se","code","code_se","list_count","list_count_se","rmse_gap","rmse_gap_se"
"Pooled-pruned",12,0.0755747095905352,0.00160546746691232,0.0172438668827759,0.000739193925673926,0.334246772185453,0.0295793295742468,11.3201042363123,0.357220444034717,137.083333333333,19.5212534181808,0.00115596915770161,0.000616324929170202
"Cluster kernels",12,0.0488318317643914,0.00196971912724439,0.00672741349970334,0.000517379115839932,0.723174838755635,0.0181726465070334,16.4199132730187,0.199403533950416,13.9444444444444,0.497186246652931,0.000782473023316139,0.000402144283942043
"Top-M atoms",12,0.220087015760282,0.0326992615211724,0.486260978315801,0.0488804597925622,0.0503550236563985,0.00784526244082201,69.0614632643832,6.39422671289596,96,0,0.00540855338973041,0.00239567841854681
"Credible set",12,0.102613452174844,0.0008476963577839,0.426863439706893,0.00073650349304488,0.00554109846882536,1.35474049370368e-05,29.337201775926,1.30089835783126,639.805555555555,244.429781900697,0.00258831197478496,0.00104137191904766
"Dilution BMA",12,0.170043493578618,0.0172981554000414,0.406841666152568,0.0651030835201056,NA,NA,318.472222222222,84.2400915686655,318.472222222222,84.2400915686655,0.0039215890092113,0.00119148512507075
"DPP BMA",12,0.185246136502754,0.0180209592731971,0.438586550160593,0.0692275819175663,NA,NA,305.111111111111,82.0657465478346,305.111111111111,82.0657465478346,0.00462883363833978,0.00144394055748208
"Fixed regions",12,0.189153027720964,0.0270757502810954,0.188192806088481,0.0271524287570819,0.342520457330189,0.0690409522523968,94.3280197821075,15.5669119597843,38.1388888888889,2.67469068457213,0.00304027262296511,0.00146493933061799
