"scenario","method","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","code_mean","code_se","rmse_gap_mean","rmse_gap_se","n","mode"
"graph_community","ASK-PC pooled-pruned 99%",0.0139210184791926,0.00110611965829557,0.00147092809408836,0.000197709126175024,0.00144041162911163,0.000187607650254771,0.001,0,4.8589120121756,0.168537656906998,0.000561098527830216,0.000194359256250022,10,"full"
"graph_community","ASK-PC pooled union",0.0139210184791926,0.00110611965829557,0.00147092809408836,0.000197709126175024,0.00144041162911163,0.000187607650254771,0.001,0,4.8589120121756,0.168537656906998,0.000561098527830216,0.000194359256250022,10,"full"
"graph_community","Posterior clustering",0.0252142070664016,0.0022542487477865,0.00309011615887684,0.000363083493901162,0.00288380778856125,0.000326071489246307,0.20746546902171,0.0753456010965466,6.49602507806409,0.351142885646667,0.00124037721972314,0.000441306385189809,10,"full"
"graph_community","Top-M support atoms",0.0844408465421496,0.01688487107693,0.0395158044887293,0.00365248295870537,0.0301774158156766,0.0043556927024644,0.40456620833645,0.0856220239509385,29.7530293752471,4.32614928452416,0.00308718133882178,0.00188851890934832,10,"full"
"graph_community","Credible support set",0.0411163842047856,0.000180179786848819,0.0486731677388714,0.000282470818431395,0.0274292614594229,0.000139580207969563,0.16408664948213,0.000650398350379645,17.779582732524,0.267700525427616,0.0011688480997843,0.000445424107600127,10,"full"
"graph_community","Dilution-prior BMA",0.0311006679737517,0.00298031567507812,0.00575554428871072,0.00105457892576373,0.00511723763481239,0.000886605191709702,NA,NA,43.5,9.09853468055891,0.00106953869881159,0.00036483602406434,10,"full"
"graph_community","DPP-prior BMA",0.0552260027464095,0.00537059350912195,0.0206943121078018,0.00361353683606562,0.0164548866672607,0.00255492658890927,NA,NA,37.1,7.52100761570918,0.00204229711955255,0.000721269438506542,10,"full"
"graph_community","Fixed hard dictionary",0.047784886268552,0.00124674157002767,0.0124928105815964,0.0012276827079284,0.0108258686337056,0.000892807286873858,0.651623913274469,0.041145630487699,16.344735251993,0.699310571045131,0.00199001565717523,0.000493341762670978,10,"full"
"misspecified_grouping","ASK-PC pooled-pruned 99%",0.0113566597182938,0.00124521921484132,0.00162865832851885,0.000232285611353701,0.00155703260402132,0.000219749881662914,0.001,0,3.56062974453305,0.159422587103206,0.00031793666025799,0.00019649418396898,10,"full"
"misspecified_grouping","ASK-PC pooled union",0.0113566597182938,0.00124521921484132,0.00162865832851885,0.000232285611353701,0.00155703260402132,0.000219749881662914,0.001,0,3.56062974453305,0.159422587103206,0.00031793666025799,0.00019649418396898,10,"full"
"misspecified_grouping","Posterior clustering",0.0129133832257437,0.00229033980967052,0.00192209813923646,0.000398530613229893,0.00175441881359254,0.000366543200248285,0.0246367523696048,0.00607820681206069,4.99432361798356,0.098289484463435,-2.73065475764778e-05,0.000118571248002025,10,"full"
"misspecified_grouping","Top-M support atoms",0.0104015540458484,0.0035747456898419,0.0189145553830937,0.00488050007215044,0.00782026927018631,0.00262734140017638,0.0390237596057663,0.0142875680994011,9.87625711771878,0.72705130930989,-0.000110274508448471,0.0001678763029951,10,"full"
"misspecified_grouping","Credible support set",0.0396739845014262,0.000446363030330248,0.048394378774772,0.000280968002659205,0.0268476016310427,0.00022902774825715,0.156326285375148,0.00161108831784894,15.8808438184346,0.142991982734957,-0.000133137378698423,0.000377270018732974,10,"full"
"misspecified_grouping","Dilution-prior BMA",0.0295888885106647,0.0063086637309701,0.00606738720429169,0.0018540036386931,0.00539004160401533,0.00160608828112475,NA,NA,8.8,1.94821855949366,-0.000886920597140972,0.000784554396061713,10,"full"
"misspecified_grouping","DPP-prior BMA",0.0524553972615875,0.0112361404372418,0.0217990579649121,0.00651053565308956,0.0173014859757026,0.00490621413732632,NA,NA,7.2,1.59721980676146,-0.00168968111780305,0.00152821393327,10,"full"
