"scenario","rho","method","method_family","tuning","mode","p","reference_mode","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","n_kernels_mean","n_kernels_se","stored_atoms_mean","stored_atoms_se","objective_mean","objective_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_reference_mean","runtime_sec_reference_se","optimizer_iterations_mean","optimizer_iterations_se","objective_change_mean","objective_change_se","raw_candidates_mean","raw_candidates_se","key_deduped_candidates_mean","key_deduped_candidates_se","near_deduped_candidates_mean","near_deduped_candidates_se","reference_support_n95_mean","reference_support_n95_se","unique_supports_mean","unique_supports_se","ess_min_mean","ess_min_se","split_rhat_max_mean","split_rhat_max_se","n_replications"
"one_representative",0.7,"Top-M support atoms","atom truncation","M=96, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.107533582027501,0.0191982605050501,0.306123953904163,0.0399600493886455,0.104034564761032,0.0184336235625633,0.0241242112433676,0.0043386518992116,47.7100997216628,4.71289048098738,79,4.93288286231625,11.5806827592206,2.61643706546453,97,0,96,0,0.542274217192806,0.0633200524024713,0.00018633144791321,0.000575994828172936,-0.000214278505803911,0.000462486688804046,0.00627861637325467,0.000755099333176173,16.4466666666666,2.25395454947768,31.6666666666667,0.333333333333333,1.11225004954344e-06,2.73440091417601e-07,NA,NA,NA,NA,NA,NA,241,57.8878225536252,713,98.1138794123101,179.502766932497,12.4652144575849,1.03786629487523,0.00939074249888425,3
"one_representative",0.7,"Credible support set","credible support summary","coverage=0.9, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.09989953829409,0.000820294580273053,0.423367769531545,0.00148682785200507,0.102897599780426,0.000818954678640179,0.00557071303228159,2.04699903321629e-05,31.0260647245996,0.954084990659256,69.6666666666667,1.33333333333333,11.9413269766809,3.58396745766353,124,26.7644042215278,123,26.7644042215278,1.0415078508235,0.0203118055253005,-0.000801241517281632,0.000527659544357973,0.000714614653776499,0.000427676913371878,0.158087366864058,0.029630598507278,16.4466666666666,2.25395454947768,53,0.577350269189626,1.3038275183952e-06,3.83124164534378e-07,NA,NA,NA,NA,NA,NA,241,57.8878225536252,713,98.1138794123101,179.502766932497,12.4652144575849,1.03786629487523,0.00939074249888425,3
"ordered_interval",0.9,"Fixed hard dictionary","fixed region dictionary","beta=0.08","full",100,"mcmc_empirical_visited_supports",1.09323719058955e-17,8.4410282219674e-18,-3.03584318178057e-17,2.36727863119719e-17,3.03584318178057e-17,2.36727863119719e-17,0.0537750098370129,5.06214136592076e-08,19.4800013069652,1.17791763259221e-05,20,0,5.52580312204054,3.587414644607e-07,49,0,NA,NA,4.47963709685906,9.13010202303847e-10,0,0,0,0,0.471893979224471,0,17.3033333333332,2.00449772040541,120,0,0.00167737881369116,3.54852059651737e-10,NA,NA,NA,NA,NA,NA,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"ordered_interval",0.9,"Posterior clustering","posterior clustering","clusters=8, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0572673942181246,0.00151553441571315,0.00872034479353748,0.000790422204961726,0.00836520193041471,0.0006891575517808,0.684319878705996,0.0307674240272838,15.4639426029355,0.298215513090074,14,0,4.05047906839056,0.3770882742915,14,0,NA,NA,0.0846505547676729,0.000798995991600214,0.000238671356592353,0.00025233136484152,-0.000292957920367283,0.000273904384568753,0.0151256108102357,0.00101283017425654,17.3033333333332,2.00449772040541,120,0,9.679575548908e-06,1.28717601916013e-06,NA,NA,NA,NA,NA,NA,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"ordered_interval",0.9,"ASK-PC pooled union","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0780462015380656,0.00280675156414343,0.0176907034333361,0.00118649656681184,0.0165098279510395,0.000902355869369362,0.298346679112655,0.0520294019724786,11.1373418244713,0.607803515414765,81.3333333333333,3.84418753155693,38.2176223864425,6.35811162611128,1175,24,NA,NA,0.0697654287925036,0.00203089920773159,0.00130497481108086,0.000421682375328586,-0.00102812220389814,0.000402412345800986,0.0156679445852261,0.000265732573949068,17.3033333333332,2.00449772040541,0,0,0,0,2342.33333333333,1.45296631451356,2333.33333333333,2.84800124843918,1175,24,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"ordered_interval",0.9,"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0780462015380656,0.00280675156414343,0.0176907034333361,0.00118649656681184,0.0165098279510395,0.000902355869369362,0.298346679112655,0.0520294019724786,11.1373418244713,0.607803515414765,81.3333333333333,3.84418753155693,38.2176223864425,6.35811162611128,394,7.57187779440036,NA,NA,0.0697654287925036,0.00203089920773159,0.00130497481108086,0.000421682375328586,-0.00102812220389814,0.000402412345800986,0.00632919903807905,0.00034646539243199,17.3033333333332,2.00449772040541,93.6666666666667,46.3333333333333,5.31692810663379e-07,2.3046966776134e-07,2342.33333333333,1.45296631451356,2333.33333333333,2.84800124843918,1175,24,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"ordered_interval",0.7,"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports","full",100,"mcmc_empirical_visited_supports",0.103408541730791,0.00906271680479917,0.161692044885153,0.0277895941251254,0.0759392191356842,0.00570752418797671,NA,NA,156,4.58257569495584,NA,NA,NA,NA,NA,NA,156,4.58257569495584,NA,NA,-0.00114615530355425,0.000521297754910663,0.00145952428929326,0.000713654025527575,NA,NA,17.6433333333332,1.73845077903026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.333333333333,25.7509438877706,950.666666666667,40.3085323198176,153.554758377494,13.0201355010066,1.06729443616689,0.018634911986936,3
"ordered_interval",0.7,"DPP-prior BMA","redundancy-aware prior","power=0.5 over visited supports","full",100,"mcmc_empirical_visited_supports",0.103641187315376,0.00943254791080473,0.163063196763396,0.027761508758845,0.0764012677926066,0.00557043687588896,NA,NA,155.666666666667,4.17665469538056,NA,NA,NA,NA,NA,NA,155.666666666667,4.17665469538056,NA,NA,-0.000860005225949978,0.000857495764011814,0.00128051105232929,0.00106806841701026,NA,NA,17.6433333333332,1.73845077903026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.333333333333,25.7509438877706,950.666666666667,40.3085323198176,153.554758377494,13.0201355010066,1.06729443616689,0.018634911986936,3
"ordered_interval",0.7,"Top-M support atoms","atom truncation","M=96, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.126236978471917,0.00986513210050461,0.344862159795342,0.0183127245840885,0.122111366633593,0.00946200120521585,0.0283038169550435,0.00227284586207429,50.4162344302835,3.43081023674418,82.6666666666667,5.17472489875334,10.8061387311756,0.0786582394418148,97,0,96,0,0.594563270464999,0.035465542420421,-0.000171556409777953,0.000732714145555903,-0.000274731463165331,0.00103770816969138,0.00671307492946124,0.000596876412627567,17.6433333333332,1.73845077903026,32,0,1.20387906958156e-06,1.75694779905329e-07,NA,NA,NA,NA,NA,NA,303.333333333333,25.7509438877706,950.666666666667,40.3085323198176,153.554758377494,13.0201355010066,1.06729443616689,0.018634911986936,3
"ordered_interval",0.9,"Credible support set","credible support summary","coverage=0.9, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.10073094765063,0.000970041493881216,0.426400304156692,0.000677867418361257,0.103944306063554,0.000378261357150604,0.00551757336278742,1.99615204989111e-05,27.614751724441,0.797148920557986,100,2,19.7342335717248,6.86083792975207,230.333333333333,70.4493513888603,229.333333333333,70.4493513888603,0.975822962585204,0.0156149300430569,0.00311520999041082,0.00125813798067319,-0.00259827172786224,0.00117557595708519,0.0708754737169381,0.0293710576749107,17.3033333333332,2.00449772040541,54.3333333333333,0.881917103688197,1.26258825013566e-06,1.2917857547094e-07,NA,NA,NA,NA,NA,NA,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"weak_signal",0.9,"Posterior clustering","posterior clustering","clusters=8, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.044534768882421,0.00711451632586491,0.00520816584673792,0.0012162836668118,0.00520207687001541,0.0011813603033266,0.830300594679531,0.0399666825949688,16.6110361793113,0.444341200820617,13.3333333333333,0.881917103688197,2.25834213732124,0.315087476613334,13.3333333333333,0.881917103688197,NA,NA,0.087470665030339,0.00115804689779974,0.0039019346834112,0.00137318227974355,-0.00204803987511726,0.000741947758966001,0.0192116085449725,0.00395879714279062,28.3833333333332,2.64628250780432,120,0,4.28625125907522e-06,1.44638651953957e-06,NA,NA,NA,NA,NA,NA,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"weak_signal",0.9,"ASK-PC pooled union","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0677986101122182,0.00438482126246606,0.0136289883231761,0.00182234452628768,0.013000827773412,0.00156240592924747,0.439689219524251,0.089486473604717,12.8664668528268,0.8846506521886,37,13.3166562369588,9.10602423411984,1.2975214502816,1489,12.6622799421484,NA,NA,0.0757746181130058,0.00259867205643366,0.00606358236491111,0.0010167552502634,-0.0031323825013619,0.000554903241831493,0.0148769994285843,0.00109087721819638,28.3833333333332,2.64628250780432,0,0,0,0,2340.33333333333,5.78311719096582,2327.33333333333,7.53510303697154,1489,12.6622799421484,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"weak_signal",0.9,"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0677986101122182,0.00438482126246606,0.0136289883231761,0.00182234452628768,0.013000827773412,0.00156240592924747,0.439689219524251,0.089486473604717,12.8664668528268,0.8846506521886,37,13.3166562369588,9.10602423411984,1.2975214502816,290.333333333333,55.3483915253591,NA,NA,0.0757746181130058,0.00259867205643366,0.00606358236491111,0.0010167552502634,-0.0031323825013619,0.000554903241831493,0.00819805760595775,0.000751717514592625,28.3833333333332,2.64628250780432,93.6666666666667,46.3333333333333,2.79318415110271e-07,1.48023478939291e-07,2340.33333333333,5.78311719096582,2327.33333333333,7.53510303697154,1489,12.6622799421484,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"weak_signal",0.9,"Fixed hard dictionary","fixed region dictionary","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.220185820513255,0.0067068357079791,0.245397832580948,0.00227356932381387,0.162849871095658,0.00422837678755488,0.173432078526732,0.0157671067882305,56.1702474269994,4.07123158283106,26.6666666666667,1.20185042515466,9.37735227310084,1.39384159297329,49,0,NA,NA,0.524032097360365,0.0226940706075802,0.0110628899891965,0.00257493646244684,-0.0058859607670998,0.0014014933074985,0.137588370041728,0.0375084805963977,28.3833333333332,2.64628250780432,120,0,3.82244848102601e-05,3.53025277962814e-06,NA,NA,NA,NA,NA,NA,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"weak_signal",0.7,"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports","full",100,"mcmc_empirical_visited_supports",0.170635662693148,0.00477845614630537,0.344679432314944,0.0295935014440284,0.154158832169835,0.0156180535362714,NA,NA,386,58.1979381078058,NA,NA,NA,NA,NA,NA,386,58.1979381078058,NA,NA,0.0063898162226821,0.00451716708517167,-0.00354088918607146,0.00274927221647798,NA,NA,17.7233333333333,2.40933139642051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
"weak_signal",0.7,"DPP-prior BMA","redundancy-aware prior","power=0.5 over visited supports","full",100,"mcmc_empirical_visited_supports",0.172312264477365,0.00453111830152787,0.350194751662446,0.0301161369666965,0.155020101448527,0.0155264233798249,NA,NA,378.333333333333,58.8000377928828,NA,NA,NA,NA,NA,NA,378.333333333333,58.8000377928828,NA,NA,0.00635318095216709,0.00436245945206421,-0.00349027376845782,0.00261957351143714,NA,NA,17.7233333333333,2.40933139642051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
"weak_signal",0.7,"Credible support set","credible support summary","coverage=0.9, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.105121441381645,0.0014194598129161,0.431237012288727,0.00140948922336653,0.106795628733336,0.00163029593246458,0.00544983135723665,6.85803352875488e-05,21.9133601854939,1.194336006564,93,2.3094010767585,66.022399786669,15.5864114618136,631,109.436435127125,630,109.436435127125,0.865385049564067,0.024890318018243,0.00620407822291883,0.00164657311122193,-0.00369139878027965,0.000893975845913429,0.250456682615723,0.208389535464042,17.7233333333333,2.40933139642051,48,6.02771377334171,1.35115932657174e-06,1.9703215474312e-07,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
"weak_signal",0.7,"Top-M support atoms","atom truncation","M=96, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.247167136089001,0.0142720399163804,0.543399430366568,0.0209742636140403,0.2431423946807,0.0149077275927062,0.0554801757343269,0.00327650477173971,66.8098818312926,3.03433331715361,97,0,25.9820324779874,3.95414550987265,97,0,96,0,0.874216863251935,0.0351053264183272,0.00844431527534404,0.00288897944738529,-0.00492086573058607,0.00169870574250855,0.00601080735168813,0.000993979906090292,17.7233333333333,2.40933139642051,34.3333333333333,0.333333333333333,1.06865897064878e-06,2.06087207647763e-07,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
