"scenario","rho","method","label","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","code_penalty_mean","code_penalty_se","entropy_penalty_mean","entropy_penalty_se","objective_check_mean","objective_check_se","q_effective_kernels_mean","q_effective_kernels_se","q_kernel95_mean","q_kernel95_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","n_kernels_mean","n_kernels_se","active_kernels_001_mean","active_kernels_001_se","objective_mean","objective_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","column_iterations_mean","column_iterations_se","retained_q_mass_mean","retained_q_mass_se","n_replications","mode"
"one_representative",0.95,"pooled_candidate_union","Pooled union",0.0624134784361981,0.00540093466512012,0.0264816569315734,0.0022754107298381,0.020940822991515,0.00123110076248275,0.001,0,2.07202046696926,0.553101737996877,0.0414404093393853,0.0110620347599375,-0.0023573326940509,0.000323448714438582,0.0655647335769077,0.00847686569485096,11.8188545862662,4.17353836939492,49.3333333333333,6.33333333333333,-1.2603280286072e-05,0.000129919617332503,4.98070107857185e-05,6.33225991417581e-05,375,0,64.3333333333333,6.43773597194266,0.0655647335769077,0.00847686569485096,0.055477394640941,0.00157955985191519,11.0633333333333,0.172851895499523,0,0,NA,NA,3,"medium"
"weak_signal",0.95,"pooled_candidate_union","Pooled union",0.0368808114662066,0.00327738595738666,0.00913578146595104,0.000449931333356803,0.00856128769012636,0.00018274954730275,0.001,0,2.44003961744396,0.201053135197745,0.0488007923488791,0.0040210627039549,-0.00231983242616388,5.89668893987078e-05,0.0556167413886663,0.0036672200557647,10.2099477467873,0.615609113424813,20.3333333333333,4.91030662088541,0.00258680640479092,0.00333696588395058,-0.00188518188253332,0.00124816974895258,390,5.19615242270663,30.6666666666667,4.66666666666667,0.0556167413886663,0.0036672200557647,0.0535291587587903,0.00316791122346363,10.77,0.54638203972434,0,0,NA,NA,3,"medium"
"one_representative",0.95,"pooled_pruned_99","Pooled-pruned 99%",0.0623753331681342,0.00540168452178129,0.0264423289902385,0.00226251767303275,0.0209143580249857,0.00122383893370626,0.001,8.85247366868827e-20,2.07871857466106,0.552541406098433,0.0415743714932212,0.0110508281219687,-0.00236959461456439,0.000323245798153999,0.0656471058688953,0.00847872494303894,11.962956961536,4.22175557273133,50.3333333333333,6.33333333333333,-1.21470537475243e-05,0.000129700472366138,4.94382377328092e-05,6.31055567818622e-05,246.666666666667,4.33333333333333,65,6.02771377334171,0.0656471058688953,0.00847872494303894,0.0554561830126252,0.001556220770062,6.13333333333333,0.491336047030046,0,0,0.990121165634528,5.85027382534852e-05,3,"medium"
"weak_signal",0.95,"pooled_pruned_99","Pooled-pruned 99%",0.0368539931390581,0.00327302332084248,0.00912582672996343,0.000453117035147423,0.00854963916925798,0.000187083191896613,0.001,0,2.44367665549451,0.202082539180739,0.0488735331098903,0.00404165078361478,-0.00232798570867643,5.66445844490369e-05,0.0556713741311773,0.00368164336149845,10.2907173611189,0.595791998429394,20.3333333333333,4.91030662088541,0.00258392946039983,0.00333430210758831,-0.00188343067491633,0.00124734244189834,194,9.50438495292217,31,4.72581562625261,0.0556713741311773,0.00368164336149845,0.0535903942160214,0.00316323233368572,3.96,0.285131548587666,0,0,0.990069447696344,4.40312062398307e-05,3,"medium"
