"scenario","rho","method","method_family","tuning","mode","p","reference_mode","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","n_kernels_mean","n_kernels_se","stored_atoms_mean","stored_atoms_se","objective_mean","objective_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_reference_mean","runtime_sec_reference_se","optimizer_iterations_mean","optimizer_iterations_se","objective_change_mean","objective_change_se","raw_candidates_mean","raw_candidates_se","key_deduped_candidates_mean","key_deduped_candidates_se","near_deduped_candidates_mean","near_deduped_candidates_se","reference_support_n95_mean","reference_support_n95_se","unique_supports_mean","unique_supports_se","ess_min_mean","ess_min_se","split_rhat_max_mean","split_rhat_max_se","n_replications"
"graph_community",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.353083686521393,0.0377526314915131,0.682226857765774,0.0494779238188958,0.363874242504288,0.0465509896845347,0.0821880319625519,0.0092599230747793,104.709748476385,8.18334956588991,25,0,12.4826631472693,2.2067721055182,25,0,24,0,1.20328026872209,0.0871633071052504,0.0089717877360435,0.00365923529397911,-0.0119663493695291,0.00675937843350225,0.00551181698771116,0.000329077071971549,24.9,2.55571907689404,36,0.577350269189626,1.28593284724291e-06,1.49032494069978e-07,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"multi_representative",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.336577381537086,0.0291859376956582,0.662412493107631,0.0390110959046542,0.342707856272416,0.0341797608366534,0.0775891937859648,0.00697471508434548,96.42310942553,4.66067765515676,25,0,9.20266728626468,0.093013837672609,25,0,24,0,1.14230864841992,0.0622203482030569,0.013330582437328,0.00413158191809808,-0.00980156433517788,0.00378288758577128,0.00517010723776697,0.000460426915444713,19.7266666666668,3.01450567165581,36,0.577350269189626,1.2878489143997e-06,9.560380735385e-08,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"noisy_grouping",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.195970895759351,0.0065997374251347,0.464587401112402,0.0104488264690248,0.190194277306506,0.00658008802158625,0.0441104005183679,0.00151495754432847,63.4712957445441,1.43203241917745,25,0,3.24755687892068,0.219490069909968,25,0,24,0,0.780770683748736,0.0175396577718289,0.000115044407498507,7.15000518598352e-05,-0.000243826679081849,3.64168247795639e-05,0.00438399503836147,0.000524488411947178,17.3700000000001,2.95523828706483,34,0,9.51546640037826e-07,1.10963802208183e-07,NA,NA,NA,NA,NA,NA,208.666666666667,71.3496865990158,801,105.659831534978,144.055369809969,4.60702838515577,1.07714776273292,0.0205432858933001,3
"one_representative",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.201485723338566,0.00931790894192901,0.472813118723807,0.0144890736686012,0.195778826978833,0.00933947254395889,0.0454671424412248,0.00217261980670525,66.3864062784652,2.66508055641459,25,0,6.63681908859337,1.73893290534819,25,0,24,0,0.8029228940871,0.0273670589276824,-0.000332846183631757,0.000481954226841444,0.000204180714766948,0.000524547637765895,0.00739727532980269,0.000490276692831463,16.4466666666666,2.25395454947768,33.3333333333333,0.333333333333333,1.59298897750571e-06,1.62699096801585e-07,NA,NA,NA,NA,NA,NA,241,57.8878225536252,713,98.1138794123101,179.502766932497,12.4652144575849,1.03786629487523,0.00939074249888425,3
"ordered_interval",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.211448645631035,0.0110566413158941,0.488416896901473,0.0165154445310273,0.206001764682656,0.011111996580769,0.04771542632368,0.00262906436674524,67.3679155385019,3.7261964651035,25,0,6.23528941607329,0.132878444521864,25,0,24,0,0.823426705149207,0.0351660831897648,0.000179463979533686,0.000335134047780847,-0.000572557499960215,0.000769467222609367,0.00734200812918399,0.000336586799848921,17.6433333333332,1.73845077903026,34,0,1.37267155253529e-06,2.63449058730183e-07,NA,NA,NA,NA,NA,NA,303.333333333333,25.7509438877706,950.666666666667,40.3085323198176,153.554758377494,13.0201355010066,1.06729443616689,0.018634911986936,3
"weak_signal",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.361308528955938,0.0213549158585615,0.698791247741133,0.0277872468960557,0.37266938904186,0.0260844120363238,0.082638766706259,0.00526445588407743,91.059828362906,5.42567089425761,25,0,12.4889224770664,1.53446220833789,25,0,24,0,1.15158227492703,0.0541724447221554,0.0133638641223168,0.00240363445160077,-0.00771937690721325,0.000669966771268344,0.00742748454971644,0.000816053458247269,17.7233333333333,2.40933139642051,35.6666666666667,0.333333333333333,1.87097583722225e-06,1.62377148103638e-07,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
"graph_community",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.381871867411859,0.0178734404877228,0.722645057854553,0.023058829380609,0.397455360635172,0.0226190992806172,0.0884366479525016,0.00443520232745511,103.051229838113,3.7152501379967,25,0,11.8925594348726,0.921143971810883,25,0,24,0,1.23543116642611,0.0415886857661794,0.00659937802400612,0.00237825320571021,-0.00457734627356099,0.00126427093065293,0.00683892418939752,0.000586770581701243,26.0766666666667,2.41925838039493,36.6666666666667,0.333333333333333,1.73702532846321e-06,1.26721420420044e-07,NA,NA,NA,NA,NA,NA,1228.33333333333,163.269034963087,2100.66666666667,189.320128647514,174.926332540067,7.44876871028743,1.03111151739593,0.00748628577765558,3
"multi_representative",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.326517254987005,0.100631998966071,0.642280905346143,0.135067281754261,0.353448755345213,0.131185741858508,0.0765026319767931,0.0253477338416513,93.0789619325733,23.2453851040184,25,0,7.87101284928749,2.79563415350064,25,0,24,0,1.10572637804214,0.250862222924986,0.00196525283445936,0.00185522724410224,-0.00390504093198657,0.00382353482328846,0.00680616420818806,0.000504307733658665,24.1433333333332,4.8260416261961,36.3333333333333,2.40370085030933,1.80874534697987e-06,3.01671753880946e-07,NA,NA,NA,NA,NA,NA,930.666666666667,611.948890385827,1618.66666666667,728.526442744378,181.983261133479,21.3655131037402,1.06475403616032,0.0134285413473858,3
"noisy_grouping",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.26634795289024,0.0253705088004618,0.567963834361352,0.0352814300379285,0.263482169444823,0.027520246154233,0.0605069956419729,0.00597184259379769,78.4107687535974,5.02582741543814,25,0,6.10176641949138,1.47827050425332,25,0,24,0,0.958266614903562,0.0601056269088312,0.00159417793638054,0.0016725682708348,-0.000980080821857484,0.00091569222175564,0.00501598781519293,0.00052370850767507,20.4099999999998,0.442417600614203,35.3333333333333,0.333333333333333,1.00453311235871e-06,5.54918176293529e-08,NA,NA,NA,NA,NA,NA,464,106.616133863501,1143.66666666667,153.836854419797,159.331219672953,11.3340580119535,1.05864819177561,0.016001014343833,3
"one_representative",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.37707583025701,0.0663664467692062,0.713637041213795,0.0875620753388263,0.400939802397787,0.081789822233989,0.0878954251783916,0.0164070244291781,102.403727129787,14.9261207951652,25,0,11.9251391445847,1.33428719898301,25,0,24,0,1.22318890141989,0.162098820322671,0.00286732228405665,0.00701850296163793,-0.00364540484439014,0.00744379734342376,0.00637519907637139,0.000475830045714371,23.1399999999999,2.40676130931168,37,1.15470053837925,1.66653349568483e-06,3.76611850462611e-07,NA,NA,NA,NA,NA,NA,1208.66666666667,335.311960882864,2049,391.415806187401,183.100358803901,5.85759750047794,1.04082959135079,0.0110439089053601,3
"ordered_interval",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.269776729071507,0.0232222967721676,0.573553683499755,0.0320649267799201,0.267194751781584,0.0251983747104586,0.0611694805335576,0.00552615556827411,76.9991030259042,5.56500600273907,25,0,6.63023314232543,1.28498423198213,25,0,24,0,0.956692039361894,0.0597008712834187,-2.17650152044933e-05,0.00173283111021364,-0.000303748064209039,0.00151808369129454,0.00542957048927125,0.000480064573110317,17.3033333333332,2.00449772040541,35,0,1.21577105471893e-06,3.42742376888828e-07,NA,NA,NA,NA,NA,NA,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"weak_signal",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.626186002915002,0.0342033049617655,1.0678775956836,0.056839369268903,0.907246065475042,0.124282476685283,0.156605942989337,0.0118122395287245,154.39117003558,12.0264760727452,25,0,19.3846127238779,0.541369545423337,25,0,24,0,1.83686974481843,0.116940191485866,0.0447351801612028,0.00908241079626328,-0.0252121451883836,0.00464341614707101,0.00749248803256669,0.000704975526101851,28.3833333333332,2.64628250780432,47.3333333333333,2.60341655863555,2.38999533349234e-06,2.02123113709546e-07,NA,NA,NA,NA,NA,NA,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"graph_community",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.377165179320606,0.0432260627854197,1.19090535955055,0.109258113727749,0.454046502041246,0.0653934836012098,0.021355063333059,0.00234657702639835,50.3005349607937,4.19590415128241,25,0,12.0501533333061,2.20781011561302,25,0,24,0,2.1944578569772,0.149570044047179,0.00984705847036204,0.00306478481905416,-0.0110850732976515,0.0047523785031451,0.140654910196387,0.0503221247404966,24.9,2.55571907689404,62.3333333333333,2.72845092395748,2.77277732248689e-06,2.73979454106304e-07,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"multi_representative",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.357942854339417,0.0329727152550528,1.14446931930256,0.0834016787935105,0.42070220383808,0.0465593638976293,0.020089684233227,0.00180301265786908,44.8355561832693,0.397961754285669,25,0,8.14967136466941,0.143572683471397,25,0,24,0,2.0390827745098,0.0825383118824067,0.0160395444858032,0.0044651563117336,-0.0117847721971716,0.00409723636732348,0.0861417028317356,0.0520558940792086,19.7266666666668,3.01450567165581,66.3333333333333,0.666666666666667,2.35305154006049e-06,3.23794510820419e-07,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"noisy_grouping",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.202709632650842,0.00705957038125899,0.73858018586082,0.0198751916952081,0.216980309005224,0.00824207670559444,0.0113233597154885,0.000394603250151031,34.0040993729224,0.425865152908285,25,0,2.83712300579237,0.188652033128625,25,0,24,0,1.41762393574296,0.0283244153550949,0.000179936244688446,8.20639401731794e-05,-0.000305294055598463,4.23207896425607e-05,0.0277611504872519,0.0115263596132363,17.3700000000001,2.95523828706483,60.3333333333333,3.17979733805649,1.945957918655e-06,1.11929193834853e-07,NA,NA,NA,NA,NA,NA,208.666666666667,71.3496865990158,801,105.659831534978,144.055369809969,4.60702838515577,1.07714776273292,0.0205432858933001,3
"one_representative",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.208650175810463,0.00999195362635966,0.755356150093981,0.027936936008757,0.225129468092186,0.0121178584192742,0.0116880196322943,0.000575419843917819,36.0244531636896,1.30838023595405,25,0,6.05054189676182,1.6478149934139,25,0,24,0,1.47412175414251,0.0522902941980477,-0.00124460705205398,6.16754352961552e-05,0.00107164490936388,4.19887702274389e-05,0.0352088799794372,0.00505018390871942,16.4466666666666,2.25395454947768,63,1,2.21650210282161e-06,8.84594699673816e-08,NA,NA,NA,NA,NA,NA,241,57.8878225536252,713,98.1138794123101,179.502766932497,12.4652144575849,1.03786629487523,0.00939074249888425,3
"ordered_interval",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.219367123810077,0.0119302808561696,0.78698319527278,0.0318004398442809,0.240439641524709,0.0134089276017426,0.0122784925712889,0.000686441284748888,35.3447637210692,2.07993391863512,25,0,5.73353675514387,0.193562209055513,25,0,24,0,1.49213329561756,0.0734257594221499,0.00121080929567404,0.00155037481635756,-0.00114675610987147,0.00107810158091139,0.0330804991174491,0.00985140051188645,17.6433333333332,1.73845077903026,61.3333333333333,3.2829526005987,2.10823666835225e-06,5.53868668472146e-08,NA,NA,NA,NA,NA,NA,303.333333333333,25.7509438877706,950.666666666667,40.3085323198176,153.554758377494,13.0201355010066,1.06729443616689,0.018634911986936,3
"weak_signal",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.385602534368813,0.0243656991644707,1.21887133226983,0.0617695976527163,0.46519944739665,0.0390248440179544,0.0215020537468875,0.00138875052600902,35.4102020281532,2.12381768574861,25,0,12.1765988485621,1.91382375087992,25,0,24,0,1.92460388877176,0.0985245509066441,0.0177381669856289,0.00221082568138955,-0.0102782549171889,0.000640438907558285,0.0255053925558032,0.00258329370633364,17.7233333333333,2.40933139642051,72,2.64575131106459,2.72594940723773e-06,2.28245150912658e-07,NA,NA,NA,NA,NA,NA,1095.66666666667,171.474325904622,1962,201.390996157557,175.128525540345,19.2315194837855,1.04238754138431,0.00772700706600646,3
"graph_community",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.40942370574892,0.0205989616866886,1.27077500500718,0.0503912471118296,0.49405389763919,0.0313627884513773,0.0230361611665889,0.00117719472397576,44.3114472364766,0.793995750830765,25,0,11.315305569404,0.995743358876807,25,0,24,0,2.1545855034365,0.0661604227650292,0.00691971296796072,0.00248826990708501,-0.00479155365521241,0.0013382639631061,0.0257055939476032,0.00313230536462943,26.0766666666667,2.41925838039493,73.3333333333333,2.185812841434,3.00598081566979e-06,8.36135395300457e-08,NA,NA,NA,NA,NA,NA,1228.33333333333,163.269034963087,2100.66666666667,189.320128647514,174.926332540067,7.44876871028743,1.03111151739593,0.00748628577765558,3
"multi_representative",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.35134932674465,0.115760084262508,1.11338794694671,0.28891663012388,0.443095507445909,0.184149782020442,0.0200344898282675,0.00682893733535198,42.3793498170191,6.64993634443776,25,0,7.3477717136377,2.82529001314824,25,0,24,0,1.9591140915129,0.421412792986716,0.000831518125498453,0.0010552927523027,-0.00288517586787185,0.00293524057471693,0.113662199562808,0.0893221288489862,24.1433333333332,4.8260416261961,65.3333333333333,1.20185042515466,2.52263212866902e-06,2.60913229763224e-07,NA,NA,NA,NA,NA,NA,930.666666666667,611.948890385827,1618.66666666667,728.526442744378,181.983261133479,21.3655131037402,1.06475403616032,0.0134285413473858,3
"noisy_grouping",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.279329047554917,0.0280308379845983,0.943056814225513,0.0713326312613042,0.311806488832074,0.0360770001086804,0.0156664549918084,0.0016227569148135,38.1233183407013,1.21227341510266,25,0,5.55815763920493,1.44285950135448,25,0,24,0,1.70387352671427,0.0936251674025908,0.00141468118895135,0.0017768750368901,-0.000741967881401129,0.00104995271570876,0.0703178858077615,0.0279723283553796,20.4099999999998,0.442417600614203,62.6666666666667,3.33333333333333,1.5662999611384e-06,1.92613646963071e-07,NA,NA,NA,NA,NA,NA,464,106.616133863501,1143.66666666667,153.836854419797,159.331219672953,11.3340580119535,1.05864819177561,0.016001014343833,3
"one_representative",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.406030688011905,0.0757388087169282,1.25814971732752,0.18773312757801,0.502283582597167,0.113457133947566,0.0228950821728683,0.00441562281055987,44.0317616963004,4.15922983247096,25,0,11.4916556701473,1.40931963280272,25,0,24,0,2.13635751639118,0.270726764325834,0.00283159631167717,0.0073690624183614,-0.00367147443683787,0.00780717572130921,0.178612418225642,0.0283984073877416,23.1399999999999,2.40676130931168,65.3333333333333,0.881917103688197,1.39070711087837e-06,5.72089457323017e-07,NA,NA,NA,NA,NA,NA,1208.66666666667,335.311960882864,2049,391.415806187401,183.100358803901,5.85759750047794,1.04082959135079,0.0110439089053601,3
"ordered_interval",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.283027398674383,0.0256717829249495,0.954642863751474,0.0654309621506671,0.318286997379201,0.0336338100903268,0.0158502591572973,0.00150010785942633,36.0923619166787,1.97528995035565,25,0,5.99914141854336,1.18890480995567,25,0,24,0,1.67473451650244,0.10456384688788,0.00255746630119225,0.00200595702798079,-0.00222474895586348,0.00181237099529121,0.0554878417597089,0.0272447577138498,17.3033333333332,2.00449772040541,62.3333333333333,3.66666666666667,1.96501678876674e-06,5.04121416305674e-07,NA,NA,NA,NA,NA,NA,491.666666666667,126.741644475857,1284.33333333333,158.431197825569,172.310428393406,9.61116793549622,1.05088349986881,0.00987830678750446,3
"weak_signal",0.9,"Top-M support atoms","atom truncation","M=24, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.713355023864199,0.046692463901963,2.05536932396209,0.126835224019663,1.26005293432676,0.181565324951805,0.0406299244889598,0.0030342560146981,48.4460888359232,4.2999134503883,25,0,20.2572258149859,1.16384333632779,25,0,24,0,3.02128578182351,0.212294408242222,0.0623474719132161,0.0155756013421482,-0.0346382801158187,0.00746812147202913,0.110147226978178,0.0192630583478474,28.3833333333332,2.64628250780432,97.6666666666667,5.69600249687835,2.71431558903264e-06,1.09377756951285e-06,NA,NA,NA,NA,NA,NA,4113.33333333333,425.967265304637,5013.33333333333,425.967265304637,180.036777979975,2.61447224398121,1.04990341219829,0.00400516098619526,3
"graph_community",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.08","full",100,"mcmc_empirical_visited_supports",0.390868023637447,0.0432348510912996,1.78875733287749,0.172734707474539,0.635023627944483,0.100682361982228,0.00533523776021006,0.000621549520645055,34.6308843867598,3.61662488264854,25,0,11.646620687942,1.38597045446941,25,0,24,0,4.55678751637185,0.331595323307254,0.00478176849430012,0.0125379611325405,0.00429556148493648,0.0156136184205985,2.63238326851389,1.35734370291805,24.9,2.55571907689404,110.333333333333,9.66666666666667,0.00017103979143851,0.000138756423508769,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"multi_representative",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.08","full",100,"mcmc_empirical_visited_supports",0.370636404243684,0.0305087156818348,1.65085199061534,0.121750065733077,0.47416372341612,0.047604323074892,0.00523120227770181,0.000529409153447143,31.1124710273486,1.25081424694963,25,0,6.64623160320457,0.305349067164567,25,0,24,0,4.13795771677873,0.0455048641744028,0.0211081819461237,0.00429469613118975,-0.0154668602075942,0.00397843688036995,1.84407701309598,0.753751203994131,19.7266666666668,3.01450567165581,120,0,6.18025994428469e-05,2.13558539736275e-05,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"noisy_grouping",0.7,"Top-M support atoms","atom truncation","M=24, beta=0.08","full",100,"mcmc_empirical_visited_supports",0.207739122812226,0.00743400442587504,1.02347672753993,0.0302813318483617,0.230602772230471,0.00967670369359751,0.00285592039098869,0.000101614497538655,26.3036327583326,0.150054839124769,25,0,2.48873018686842,0.150064784101956,25,0,24,0,3.12685917636139,0.0420780632948242,0.000337970193437472,0.000100391855386548,-0.000441524376138573,4.71322319028003e-05,0.302016701412152,0.0189863634511393,17.3700000000001,2.95523828706483,120,0,0.000124255554209066,2.42458502191993e-05,NA,NA,NA,NA,NA,NA,208.666666666667,71.3496865990158,801,105.659831534978,144.055369809969,4.60702838515577,1.07714776273292,0.0205432858933001,3
