"scenario","rho","replication_id","method","method_family","tuning","beta","tau","epsilon0","qmax","q0_constraint_active","stage","tv","fkl","rkl","mean_h_error","q0","cexp","clist","klist","keff","active_nonfallback","n_kernels","objective","kkt_residual","optimizer_status","optimizer_iterations","objective_change","min_alpha_empirical","floor_q_mass","floor_active_q_mass","delta_a","active_floored_kernels","max_active_reciprocal_uncertainty","final_mass_mode","runtime_sec"
"graph_community",0.7,2,"Pooled-pruned","support-kernel compression","beta=0.02, qmax=0.10",0.02,0.001,0.001,0.1,FALSE,"post-prune",0.158438814837984,0.0787712657663796,0.0684737565687991,3.2085445411667e-14,0.00680535054023096,9.08489461246793,80.535776833102,9,7.99212382553798,9,10,0.258325502357868,0.0151173640511603,"objective_converged_kkt_warning",80,1.51384306201763e-08,0.171347040041489,0,0,0,0,35609749027159.1,"unfloored empirical",23.14
"graph_community",0.7,2,"Pooled union","support-kernel compression","beta=0.02, qmax=0.25",0.02,0.001,0.001,0.25,FALSE,"pre-prune",0.159090990761669,0.0803217057313675,0.0697436124497055,3.15303338993544e-14,0.00100000010628173,8.99999238271181,89.7152455414111,10,8.45049124016669,10,300,0.258132564760625,0.176099908229817,"objective_converged_kkt_warning",80,0.0133070603204639,0.00325293943480231,0,0,0,0,35609749027159.1,"unfloored empirical",14.53
"graph_community",0.7,2,"Pooled-pruned","support-kernel compression","beta=0.02, qmax=0.25",0.02,0.001,0.001,0.25,FALSE,"post-prune",0.15904271263499,0.0802030500194507,0.0696167794811525,3.10862446895044e-14,0.00100727301516005,9.00546107597323,81.9220711942219,9,8.36266018676186,9,10,0.258148289247502,0.0203969704431211,"objective_converged_kkt_warning",1,1.51133683901072e-08,0.171347040041489,0,0,0,0,34325887617657.5,"unfloored empirical",14.53
"graph_community",0.7,2,"Pooled union","support-kernel compression","beta=0.02, qmax=0.50",0.02,0.001,0.001,0.5,FALSE,"pre-prune",0.159090990761669,0.0803217057313675,0.0697436124497055,3.15303338993544e-14,0.00100000010628173,8.99999238271181,89.7152455414111,10,8.45049124016669,10,300,0.258132564760625,0.176099908229817,"objective_converged_kkt_warning",80,0.0133070603204639,0.00325293943480231,0,0,0,0,35609749027159.1,"unfloored empirical",13.06
"graph_community",0.7,2,"Pooled-pruned","support-kernel compression","beta=0.02, qmax=0.50",0.02,0.001,0.001,0.5,FALSE,"post-prune",0.15904271263499,0.0802030500194507,0.0696167794811525,3.10862446895044e-14,0.00100727301516005,9.00546107597323,81.9220711942219,9,8.36266018676186,9,10,0.258148289247502,0.0203969704431211,"objective_converged_kkt_warning",1,1.51133683901072e-08,0.171347040041489,0,0,0,0,34325887617657.5,"unfloored empirical",13.06
"graph_community",0.7,3,"Pooled union","support-kernel compression","beta=0.02, qmax=0.05",0.02,0.001,0.001,0.05,FALSE,"pre-prune",0.138079964501545,0.0619783258260432,0.0539431580035499,5.99520433297585e-15,0.001,10.2295355826448,48.6599819329321,5,4.38690319372426,5,259,0.265043504838106,0.0266577316903414,"objective_converged_kkt_warning",80,0.0125803703897742,0,1.18402150303839e-40,0,1.18402150303839e-40,0,36572064423175.6,"unfloored empirical",7.35999999999999
"graph_community",0.7,3,"Pooled-pruned","support-kernel compression","beta=0.02, qmax=0.05",0.02,0.001,0.001,0.05,FALSE,"post-prune",0.138075531039605,0.0619741863472971,0.0539392162673698,5.99520433297585e-15,0.00100000009990004,10.229716520229,48.6599819329321,5,4.38639527306683,5,6,0.265043519840786,3.40418389310759e-05,"converged",1,2.39064323892535e-12,0.000224671712208176,0,0,0,0,36572064423175.6,"unfloored empirical",7.35999999999999
"graph_community",0.7,3,"Pooled union","support-kernel compression","beta=0.02, qmax=0.10",0.02,0.001,0.001,0.1,FALSE,"pre-prune",0.138079038206114,0.0619776991657575,0.0539425981379921,5.99520433297585e-15,0.001,10.2295604494611,48.6599819329321,5,4.38680036162286,5,259,0.265043495653882,0.0263510544009847,"objective_converged_kkt_warning",80,0.0134553952796851,0,1.87033753281321e-46,0,1.87033753281321e-46,0,36572064423175.6,"unfloored empirical",6.78
"graph_community",0.7,3,"Pooled-pruned","support-kernel compression","beta=0.02, qmax=0.10",0.02,0.001,0.001,0.1,FALSE,"post-prune",0.13807574779357,0.0619746213472608,0.0539396670071427,5.99520433297585e-15,0.00100000009990003,10.229695001709,48.6599819329321,5,4.38642303562952,5,6,0.26504351971901,2.53208802695193e-05,"converged",1,1.22968302207482e-12,0.000224671712208176,0,0,0,0,36572064423175.6,"unfloored empirical",6.78
"graph_community",0.7,3,"Pooled union","support-kernel compression","beta=0.02, qmax=0.25",0.02,0.001,0.001,0.25,FALSE,"pre-prune",0.138079426708762,0.061978306195821,0.0539432455491247,5.99520433297585e-15,0.001,10.2295326715691,48.6599819329321,5,4.38687588079094,5,259,0.265043498232427,0.0264666224766464,"objective_converged_kkt_warning",80,0.0135468836908123,0,7.82339739075208e-50,0,7.82339739075208e-50,0,36572064423175.6,"unfloored empirical",6.72999999999999
