"method","beta","stage","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","cexp_mean","cexp_se","clist_mean","clist_se","klist_mean","klist_se","keff_mean","keff_se","active_nonfallback_mean","active_nonfallback_se","objective_mean","objective_se","kkt_residual_mean","kkt_residual_se","floor_q_mass_mean","floor_q_mass_se","floor_active_q_mass_mean","floor_active_q_mass_se","delta_a_mean","delta_a_se","active_floored_kernels_mean","active_floored_kernels_se","runtime_sec_mean","runtime_sec_se","n_cells"
"Group-Hamming balls",0.02,"fit",0.0224344404503823,0.00174793448664037,0.00800046071715282,0.00167350727239732,0.00475096105324847,0.000893285488242744,0.00583375389931615,0.00250675028955983,5.29914189382586,0.0532125713683084,108.176884829985,2.05506912653592,17.9444444444444,0.325977028220839,5.19432789231248,0.248628891264543,17.9444444444444,0.325977028220839,0.111947717957535,0.00269781289769986,0.0833466943243979,0.00165620648942258,0,0,0,0,0,0,0,0,0.223055555555527,0.0245072695546146,36
"Hamming balls",0.02,"fit",0.0390233724191218,0.00484090072732823,0.0197597097041043,0.00343325921365778,0.0130042834610802,0.0023796608750347,0.0341261662330009,0.0122882607819061,6.09832812925404,0.216054430831062,134.285323655802,4.09232196408827,19.9722222222222,0.610082106250333,5.40823388826872,0.188541451793519,19.9722222222222,0.610082106250333,0.139651386506573,0.00758894851759036,0.127195848229362,0.00457861724986941,0,0,0,0,0,0,0,0,0.305555555555561,0.0349363240369285,36
