"method","qmax","beta","cexp_mean","cexp_se","clist_mean","clist_se","klist_mean","klist_se","keff_mean","keff_se"
"Pooled-pruned",0.05,0.02,8.22443843710511,0.240409406178473,118.978650775101,39.5770501570633,14.5833333333333,5.16372804295378,5.64265305563462,0.865685311905641
"Pooled-pruned",0.1,0.02,8.24811078206094,0.243050058212515,70.379756485077,16.2091199776895,8.27777777777778,1.97227252339163,4.95471788647909,0.645535015181327
"Pooled-pruned",0.25,0.02,8.25113540123496,0.247431985188329,58.4949898784684,8.25353724205859,6.83333333333333,0.919368313157515,4.76698505326389,0.539579089742876
"Pooled-pruned",0.5,0.02,8.26982749148895,0.254628493215649,53.3670374817831,6.26082662713782,6.33333333333333,0.75907211527659,4.62194163011139,0.515946113549221
"Group-Hamming balls",NA,0.02,5.29914189382586,0.0532125713683084,108.176884829985,2.05506912653592,17.9444444444444,0.325977028220839,5.19432789231248,0.248628891264543
"Hamming balls",NA,0.02,6.09832812925404,0.216054430831062,134.285323655802,4.09232196408827,19.9722222222222,0.610082106250333,5.40823388826872,0.188541451793519
