"scenario","rho","replication_id","method","method_family","tuning","beta","tau","epsilon0","qmax","q0_constraint_active","stage","tv","fkl","rkl","mean_h_error","q0","cexp","clist","klist","keff","active_nonfallback","n_kernels","objective","kkt_residual","optimizer_status","optimizer_iterations","objective_change","min_alpha_empirical","floor_q_mass","floor_active_q_mass","delta_a","active_floored_kernels","max_active_reciprocal_uncertainty","final_mass_mode","runtime_sec"
"graph_community",0.7,1,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0184480783817176,0.00319994333568824,0.00256963112524959,2.22044604925031e-16,0.001,5.22317626085558,145.532651370508,22,4.80695871691489,22,31,0.105665880274485,0.11452870744776,"max_iter_reached",120,0.000168997667316526,0.0300555555555556,0,0,0,0,-Inf,"unfloored empirical",0.280000000000001
"graph_community",0.7,1,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0181506659900334,0.0023318581786461,0.00203833728472682,1.11022302462516e-16,0.001,5.21586704623354,114.687289819984,19,6.10225856376417,19,21,0.104418462547342,0.0842896081944016,"max_iter_reached",120,0.000150554761885122,0.711777777777778,0,0,0,0,-Inf,"unfloored empirical",0.149999999999999
"graph_community",0.7,2,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0283289152995772,0.0196137356374296,0.0100463052372308,2.22044604925031e-15,0.00457579488107618,5.86976102933199,120.072169303143,18,3.89993591630958,18,31,0.135186356083472,0.115383722927256,"max_iter_reached",120,7.95173458970067e-05,0.0319444444444444,0,0,0,0,-Inf,"unfloored empirical",0.299999999999997
"graph_community",0.7,2,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0202291870332062,0.010527570149581,0.00540370241366532,2.55351295663786e-15,0.0028474860469686,5.35338023504162,100.457048786301,17,4.03554375517224,17,21,0.115767375072184,0.0745363934001726,"max_iter_reached",120,0.000113533771873217,0.0338333333333333,0,0,0,0,-Inf,"unfloored empirical",0.219999999999985
"graph_community",0.7,3,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0294078838185786,0.0156611087443639,0.00895914082141702,1.22124532708767e-15,0.00206026778046954,5.77351668015591,145.532651370508,22,4.47094584860085,22,31,0.129177199754239,0.122082145261503,"max_iter_reached",120,0.000114273633560896,0.0243888888888889,0,0,0,0,-Inf,"unfloored empirical",0.240000000000009
"graph_community",0.7,3,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0178588358139868,0.0058309533244836,0.0027077952838888,4.44089209850063e-16,0.00283843306136915,5.24118608612236,114.687289819984,19,6.52640481189786,19,21,0.108373901195137,0.0844410305035175,"max_iter_reached",120,0.000146950079979336,0.677555555555555,0,0,0,0,-Inf,"unfloored empirical",0.169999999999987
"graph_community",0.9,1,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0872476967125553,0.056687709197037,0.0381844668397546,4.9960036108132e-15,0.111853659083224,7.61718507030432,79.3814462020951,12,4.28619263744588,12,31,0.207148402721418,0.160231262334309,"max_iter_reached",120,3.69901105989612e-05,0.0176666666666667,0,0,0,0,-Inf,"unfloored empirical",0.420000000000016
"graph_community",0.9,1,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0177942572472938,0.00210958764199086,0.00185109754610029,8.10462807976364e-15,0.001,5.21643742961783,114.687289819984,19,6.6616481012873,19,21,0.104150532815551,0.0832901980565488,"max_iter_reached",120,0.00014564435031951,0.718111111111111,0,0,0,0,-Inf,"unfloored empirical",0.359999999999957
"graph_community",0.9,2,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.0915781662475659,0.0575069242076402,0.0389523448468676,1.4432899320127e-15,0.106828777618501,7.62584941987485,100.226807752619,15,4.81465219938657,15,31,0.207922191738359,0.15933897354508,"max_iter_reached",120,3.06581918866344e-05,0.0317222222222222,0,0,0,0,-Inf,"unfloored empirical",0.310000000000002
"graph_community",0.9,2,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0182673060550932,0.00628481998525727,0.00283785875433925,3.77475828372553e-15,0.0032722433962354,5.24530182276775,114.687289819984,19,6.70488106949966,19,21,0.108885412309033,0.0839206068811791,"max_iter_reached",120,0.00014603062087315,0.712388888888889,0,0,0,0,-Inf,"unfloored empirical",0.25
"graph_community",0.9,3,"Hamming balls","same-target credible region","top centers, r=0:5",0.02,0.001,0.001,1,FALSE,"fit",0.029042191872332,0.0177053528260254,0.00935982231275557,1.4432899320127e-15,0.00275463705172922,5.77293884453452,115.072169303143,18,4.74309267938125,18,31,0.131208534822285,0.122851561599896,"max_iter_reached",120,6.51592371342102e-05,0.0284444444444444,0,0,0,0,-Inf,"unfloored empirical",0.269999999999982
"graph_community",0.9,3,"Group-Hamming balls","same-target credible region","top group centers, r=0:3",0.02,0.001,0.001,1,FALSE,"fit",0.0166209464777706,0.00253648567209764,0.00204219817594013,1.99840144432528e-15,0.001,5.2045513380334,122.302410336825,20,4.9641581083922,20,21,0.104578148147442,0.0742400581460798,"max_iter_reached",120,0.000147145688717015,0.109222222222223,0,0,0,0,-Inf,"unfloored empirical",0.180000000000007
