"method","qmax","beta","stage","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","cexp_mean","cexp_se","clist_mean","clist_se","klist_mean","klist_se","keff_mean","keff_se","active_nonfallback_mean","active_nonfallback_se","objective_mean","objective_se","kkt_residual_mean","kkt_residual_se","floor_q_mass_mean","floor_q_mass_se","floor_active_q_mass_mean","floor_active_q_mass_se","delta_a_mean","delta_a_se","active_floored_kernels_mean","active_floored_kernels_se","runtime_sec_mean","runtime_sec_se","n_cells"
"Pooled-pruned",0.05,0.02,"post-prune",0.135963498579144,0.00401341799951943,0.0633733589157259,0.00368439046525469,0.055143586114509,0.00340125874658162,0.0104393512239048,0.00299254666552052,8.22443843710511,0.240409406178473,118.978650775101,39.5770501570633,14.5833333333333,5.16372804295378,5.64265305563462,0.865685311905641,14.5833333333333,5.16372804295378,0.226346986782459,0.00529999341940333,0.0269253290919059,0.00763470483860459,0,0,0,0,0,0,0,0,15.1488888888889,2.12104918548965,36
"Pooled-pruned",0.1,0.02,"post-prune",0.135689036282937,0.00383770602731542,0.0627464142149577,0.00346287461553013,0.0547596920371971,0.00324639943512812,0.0141533103406987,0.00491942439011388,8.24811078206094,0.243050058212515,70.379756485077,16.2091199776895,8.27777777777778,1.97227252339163,4.95471788647909,0.645535015181327,8.27777777777778,1.97227252339163,0.226313868465805,0.00519279505309272,0.0247464248239484,0.00704082900935267,0,0,0,0,0,0,0,0,14.9338888888889,1.95436492659736,36
"Pooled-pruned",0.25,0.02,"post-prune",0.135375272138123,0.00369911754126044,0.0622128814372677,0.00327833593561216,0.054345309902674,0.00308815016011174,0.0168674996279862,0.00781019360518939,8.25113540123496,0.247431985188329,58.4949898784684,8.25353724205859,6.83333333333333,0.919368313157515,4.76698505326389,0.539579089742876,6.83333333333333,0.919368313157515,0.225873337981389,0.00500738162505596,0.0149343766143044,0.00533620498612351,0,0,0,0,0,0,0,0,12.8672222222222,1.38499679737817,36
"Pooled-pruned",0.5,0.02,"post-prune",0.134773726552117,0.00363085238225218,0.0616563291559883,0.0032475953272223,0.0538431193041525,0.00303950648987055,0.0191957562875567,0.00986392429130921,8.26982749148895,0.254628493215649,53.3670374817831,6.26082662713782,6.33333333333333,0.75907211527659,4.62194163011139,0.515946113549221,6.33333333333333,0.75907211527659,0.225714114058787,0.00493985012863444,0.0114948704642653,0.00425230897073703,0,0,0,0,0,0,0,0,12.8477777777778,1.44720152012735,36
