"method","family","fkl","cexp","clist","q0"
"Pooled-pruned q0<=0.05","Pooled-pruned",0.0633733589157259,8.22443843710511,118.978650775101,0.0104393512239048
"Pooled-pruned q0<=0.10","Pooled-pruned",0.0627464142149577,8.24811078206094,70.379756485077,0.0141533103406987
"Pooled-pruned q0<=0.25","Pooled-pruned",0.0622128814372677,8.25113540123496,58.4949898784684,0.0168674996279862
"Pooled-pruned q0<=0.50","Pooled-pruned",0.0616563291559883,8.26982749148895,53.3670374817831,0.0191957562875567
"Group-Hamming balls","Group-Hamming balls",0.00800046071715282,5.29914189382586,108.176884829985,0.00583375389931615
"Hamming balls","Hamming balls",0.0197597097041043,6.09832812925404,134.285323655802,0.0341261662330009
